Unnamed: 0,track_id,artist,song,release_date,total_weeks,peak_position,peak_streams,total_streams,release_month,release_season,first_peak_date,peak_season,language,genre,popularity,bpm,energy,danceability,loudness,valence,length,acousticness,artist_seperation,debut_position
1808,5ITV0zqzjOYfFWpW0xBmRa,wizthemc,show me love,2025-02-07,3,98,48348,126991,2.0,Winter,2025-03-27,Spring,English,,89.0,107.0,69.0,71.0,-7.0,16.0,177.0,2.0,89.0,191
1809,4O32TwoybFtp2hLJI58adX,patsyki z franeka,vasya omg,2016-07-08,4,49,43985,126750,7.0,Summer,2022-07-14,Summer,,,34.0,108.0,78.0,78.0,-7.0,47.0,191.0,25.0,34.0,152
1810,5dD3nB7RMN4zCLCofqnnvJ,jah khalib,следуй за мной,2021-07-08,5,55,34675,126739,7.0,Summer,2021-06-24,Summer,Russian,,31.0,174.0,72.0,66.0,-3.0,48.0,224.0,48.0,31.0,55
1811,7uQ7e7nzbtyX87eIYHpj6Z,s10,de diepte,2022-03-03,3,29,53734,126627,3.0,Spring,2022-05-19,Spring,Dutch,Pop,53.0,90.0,40.0,50.0,-9.0,16.0,177.0,38.0,53.0,29
1812,5IEPzc47SMqni178gRd0dt,oxxxymiron,мох,2021-11-12,3,39,58159,126210,11.0,Fall,2021-11-18,Fall,Russian,Hip Hop,38.0,138.0,73.0,89.0,-6.0,60.0,126.0,3.0,38.0,39
1813,1spokCO7MNwtLI88t6OAJ8,nyan.mp3,и я такой пау пау пау,2023-12-22,3,108,47274,126167,12.0,Winter,2023-12-28,Winter,Russian,Electronic,47.0,175.0,72.0,73.0,-5.0,98.0,105.0,25.0,47.0,108
1814,341wkuN5CQj3lk13UISinb,kizaru,moulin rouge,2021-06-04,4,31,57360,125711,6.0,Summer,2021-06-10,Summer,Russian,,29.0,126.0,46.0,74.0,-11.0,49.0,213.0,7.0,29.0,31
1815,3nAp4IvdMPPWEH9uuXFFV5,kelly clarkson,underneath the tree,2013-10-25,5,41,31720,125517,10.0,Fall,2020-12-31,Winter,English,Electronic,64.0,160.0,81.0,51.0,-5.0,69.0,230.0,0.0,64.0,198
1816,2N0SPREDYqILVEFSsWF5N5,v,love me again,2023-08-11,3,84,47713,125356,8.0,Summer,2023-08-17,Summer,English,Jazz,75.0,74.0,61.0,63.0,-6.0,36.0,182.0,18.0,75.0,84
1817,2RshmTmfMvyw8vbA0jpH9E,timati,звездопад,2020-11-13,5,38,29969,125126,11.0,Fall,2020-10-29,Fall,Russian,Hip Hop,37.0,145.0,76.0,71.0,-5.0,64.0,170.0,41.0,37.0,41
1818,4hT7BPLIAsZ2rLkG9CpKrH,v $ x v prince,на лету,2019-01-18,10,125,13562,125121,1.0,Winter,2020-08-06,Summer,Russian,Hip Hop,45.0,126.0,58.0,83.0,-6.0,17.0,201.0,12.0,45.0,173
1819,,баста feat. алёна омаргалиева,я поднимаюсь над землей,,6,100,23301,125005,,,2021-04-01,Spring,,,,,,,,,,,,112
1820,31B55RtdFbmnzmyPhT7TY8,обильный,ваниль,2022-10-22,3,173,43060,124947,10.0,Fall,2024-04-25,Spring,Russian,,55.0,92.0,47.0,63.0,-6.0,60.0,86.0,53.0,55.0,200
1821,3yi4CF76vbCXfI1sb3FMuW,morgenshtern,balance,2022-10-21,2,21,85560,124905,10.0,Fall,2022-10-27,Fall,Russian,Hip Hop,36.0,153.0,61.0,71.0,-6.0,30.0,168.0,0.0,36.0,21
1822,70nXBc3MIwKvKcHEb8qSZV,rodionis,there are no friends,2019-02-08,4,178,32295,124709,2.0,Winter,2022-01-27,Winter,English,,41.0,131.0,43.0,88.0,-11.0,45.0,119.0,21.0,41.0,181
1823,7BnqVQ9dzFli95IPNBMiSd,morgenshtern,дор блю,2022-10-21,2,20,86374,124271,10.0,Fall,2022-10-27,Fall,Russian,Hip Hop,38.0,89.0,48.0,68.0,-9.0,15.0,176.0,4.0,38.0,20
1824,4eb2ZbHpGhxMh6pKOpBfhC,xcho,вороны,2021-10-01,3,90,44140,124238,10.0,Fall,2022-02-10,Winter,Russian,,0.0,176.0,51.0,63.0,-5.0,17.0,157.0,39.0,0.0,90
